Date,Open,High,Low,Close,Volume
1/3/2006,22.83,22.879999,21.9,22.620001,7335400
1/4/2006,22.65,22.719999,22.24,22.6,4954700
1/5/2006,22.51,22.620001,22.389999,22.48,7763300
1/6/2006,22.790001,22.790001,22.129999,22.58,6127700
1/9/2006,22.190001,22.6,22.190001,22.58,4596800
1/10/2006,22.360001,23.059999,22.33,23.02,3912100
1/11/2006,23.15,23.219999,22.84,23.01,3077500
1/12/2006,23.09,23.09,22.5,22.59,4694400
1/13/2006,22.76,22.82,22.4,22.440001,2388900
1/17/2006,22.4,22.440001,22.1,22.200001,3454700
1/18/2006,22.17,22.49,21.93,22.24,3289100
1/19/2006,22.07,22.709999,22.07,22.540001,4618600
1/20/2006,22.559999,22.629999,21.9,22.01,4919300
1/23/2006,21.950001,22.700001,21.950001,22.52,5081200
1/24/2006,22.610001,23.1,22.35,23.049999,6153200
1/25/2006,23.110001,23.219999,22.66,22.799999,4465900
1/26/2006,23.16,23.459999,22.83,23.4,5053900
1/27/2006,23.43,24,23.26,23.639999,6314000
1/30/2006,23.700001,23.85,23.42,23.43,2692700
1/31/2006,23.540001,23.83,23.35,23.709999,3756000
2/1/2006,23.42,23.719999,23.34,23.49,3823700
2/2/2006,23.610001,23.610001,23.09,23.4,5589500
2/3/2006,22.93,23.4,22.860001,23.139999,3767600
2/6/2006,22.940001,23.290001,22.9,23.219999,2149700
2/7/2006,23.25,23.389999,23.049999,23.209999,2936600
2/8/2006,23.25,23.549999,23.030001,23.5,3150100
2/9/2006,23.389999,23.48,22.84,22.91,3886400
2/10/2006,23.059999,23.18,22.700001,22.98,2710500
2/13/2006,22.85,22.98,22.530001,22.68,3222500
2/14/2006,22.620001,22.799999,22.309999,22.77,4800100
2/15/2006,22.75,23.440001,22.52,23.27,3519800
2/16/2006,23.34,23.450001,22.950001,23.309999,2230400
2/17/2006,23.200001,23.360001,22.93,22.950001,2582500
2/21/2006,22.870001,23.040001,22.389999,22.49,4045200
2/22/2006,22.469999,23.059999,22.379999,22.9,3655700
2/23/2006,22.809999,23.23,22.709999,22.82,3322400
2/24/2006,22.67,22.969999,22.4,22.700001,3303100
2/27/2006,22.73,23.219999,22.629999,23.07,4298000
2/28/2006,23.389999,24.610001,23.389999,24.540001,9147800
3/1/2006,24.85,25.389999,24.01,25.09,11214600
3/2/2006,24.41,25.120001,24.049999,24.799999,4663800
3/3/2006,24.42,25.26,24.42,24.889999,4521600
3/6/2006,24.809999,25.110001,24.540001,24.75,3181000
3/7/2006,24.870001,24.879999,24.57,24.65,2398800
3/8/2006,24.629999,24.76,24.219999,24.34,3338100
3/9/2006,24.27,24.57,24.18,24.209999,2627800
3/10/2006,24.209999,24.559999,24.129999,24.370001,3618000
3/13/2006,24.459999,24.879999,24.32,24.700001,3485800
3/14/2006,24.52,25.24,24.48,25.190001,3084500
3/15/2006,25.18,25.290001,24.82,25.08,4801200
3/16/2006,25.07,25.23,24.76,24.969999,2759800
3/17/2006,25.190001,25.33,24.950001,25.040001,4586700
3/20/2006,24.889999,25.209999,24.84,25.040001,2434400
3/21/2006,24.49,25.23,24.43,24.49,4441300
3/22/2006,24.43,24.76,24.290001,24.76,3659500
3/23/2006,25,25.67,24.99,25.530001,7362200
3/24/2006,25.620001,25.620001,24.809999,25.280001,5978100
3/27/2006,25.23,25.4,25,25.309999,2599900
3/28/2006,25.370001,25.82,25.07,25.4,6307700
3/29/2006,25.110001,25.84,24.98,25.629999,4924400
3/30/2006,25.459999,26.24,25.450001,26,5870000
3/31/2006,25.85,26.15,25.440001,25.52,4497700
4/3/2006,25.6,26.25,25.51,26.110001,5664100
4/4/2006,25.959999,26.5,25.950001,26.309999,6507200
4/5/2006,26.200001,26.610001,26.08,26.49,4751600
4/6/2006,26.360001,26.549999,25.77,26.049999,4404000
4/7/2006,26.110001,26.51,25.85,25.940001,3101900
4/10/2006,26,26,25.25,25.43,4843400
4/11/2006,25.6,25.610001,25.110001,25.209999,3601700
4/12/2006,25.25,25.860001,25.02,25.719999,3154700
4/13/2006,25.610001,26.049999,25.450001,25.940001,2933200
4/17/2006,25.809999,26.1,25.709999,25.790001,4520700
4/18/2006,25.709999,26.780001,25.709999,26.639999,5433500
4/19/2006,26.6,26.700001,26.17,26.27,2751500
4/20/2006,26.49,26.790001,26.16,26.25,3951600
4/21/2006,26.25,26.43,25.41,25.57,5352200
4/24/2006,25.6,25.76,25.35,25.59,2391300
4/25/2006,25.77,26,25.34,25.379999,3074200
4/26/2006,25.42,25.969999,25.370001,25.860001,4317100
4/27/2006,25.84,26.549999,25.57,26.15,5004800
4/28/2006,26.25,26.48,25.98,26.41,3122200
5/1/2006,26.389999,26.5,25.49,25.6,3668000
5/2/2006,25.75,26.129999,25.59,26.110001,2370400
5/3/2006,26.1,26.469999,25.98,26.450001,3354500
5/4/2006,26.41,26.85,26.360001,26.6,3340200
5/5/2006,26.84,26.99,26.52,26.549999,3880000
5/8/2006,26.530001,26.67,26.129999,26.24,3996400
5/9/2006,26.219999,26.559999,26.17,26.549999,3561500
5/10/2006,26.43,26.83,26.43,26.639999,3508400
5/11/2006,27,27.709999,26.41,26.98,7622000
5/12/2006,26.34,27,26.299999,26.610001,6022300
5/15/2006,26.6,26.9,26.370001,26.42,7040300
5/16/2006,25.700001,25.700001,24.389999,24.82,15932900
5/17/2006,24.620001,24.940001,24.389999,24.51,4519600
5/18/2006,24.41,24.809999,24.35,24.41,6272300
5/19/2006,24.15,24.65,24.049999,24.52,8488000
5/22/2006,24.08,24.49,23.969999,24.139999,4827800
5/23/2006,23.99,24.42,23.940001,23.950001,3877800
5/24/2006,23.83,24.190001,23.559999,23.85,4017100
5/25/2006,23.82,24.120001,23.559999,23.809999,4007000
